Source,Target,Weight,Type
儲光羲_1,儲光羲_2,6,undirected
儲光羲_1,張九齡_1,2,undirected
儲光羲_1,皎然_1,1,undirected
儲光羲_1,韓愈_1,1,undirected
儲光羲_2,儲光羲_1,6,undirected
儲光羲_2,劉禹錫_1,2,undirected
儲光羲_2,柳宗元_2,1,undirected
儲光羲_2,王維_2,2,undirected
儲光羲_2,盧綸_1,1,undirected
儲光羲_2,陸龜蒙_2,1,undirected
元稹_1,寒山_2,1,undirected
元稹_1,張九齡_1,2,undirected
元稹_1,陸龜蒙_2,3,undirected
元稹_2,張說_1,1,undirected
元稹_2,權德輿_1,3,undirected
元稹_2,溫庭筠_1,2,undirected
劉禹錫_1,儲光羲_2,2,undirected
劉禹錫_1,劉禹錫_2,2,undirected
劉禹錫_1,劉長卿_1,3,undirected
劉禹錫_1,姚合_1,3,undirected
劉禹錫_1,孟郊_2,3,undirected
劉禹錫_1,張祜_1,2,undirected
劉禹錫_1,張祜_2,2,undirected
劉禹錫_1,張說_1,4,undirected
劉禹錫_1,張說_2,3,undirected
劉禹錫_1,徐鉉_2,3,undirected
劉禹錫_1,李白_2,3,undirected
劉禹錫_1,杜牧_1,2,undirected
劉禹錫_1,杜甫_1,5,undirected
劉禹錫_1,柳宗元_1,1,undirected
劉禹錫_1,權德輿_1,6,undirected
劉禹錫_1,權德輿_2,3,undirected
劉禹錫_1,溫庭筠_1,2,undirected
劉禹錫_1,溫庭筠_2,1,undirected
劉禹錫_1,王建_1,2,undirected
劉禹錫_1,皎然_1,3,undirected
劉禹錫_1,盧綸_1,3,undirected
劉禹錫_1,盧綸_2,1,undirected
劉禹錫_1,薛能_2,2,undirected
劉禹錫_1,貫休_2,3,undirected
劉禹錫_1,賈島_1,1,undirected
劉禹錫_1,錢起_1,2,undirected
劉禹錫_1,錢起_2,1,undirected
劉禹錫_1,陸龜蒙_1,1,undirected
劉禹錫_1,韋莊_2,1,undirected
劉禹錫_1,顧況_1,1,undirected
劉禹錫_1,顧況_2,2,undirected
劉禹錫_2,劉禹錫_1,2,undirected
劉禹錫_2,李端_1,1,undirected
劉禹錫_2,齊己_2,5,undirected
劉長卿_1,劉禹錫_1,3,undirected
劉長卿_1,劉長卿_2,3,undirected
劉長卿_1,張祜_1,1,undirected
劉長卿_1,溫庭筠_2,2,undirected
劉長卿_2,劉長卿_1,3,undirected
劉長卿_2,張籍_2,2,undirected
劉長卿_2,杜牧_2,2,undirected
吳融_1,李商隱_2,1,undirected
吳融_1,溫庭筠_1,1,undirected
吳融_1,韓偓_1,4,undirected
吳融_1,韓偓_2,4,undirected
吳融_2,李商隱_2,3,undirected
吳融_2,杜牧_1,2,undirected
吳融_2,皮日休_2,2,undirected
吳融_2,許渾_2,1,undirected
吳融_2,齊己_2,1,undirected
呂岩_1,呂岩_2,6,undirected
呂岩_1,寒山_2,2,undirected
呂岩_1,韓愈_1,1,undirected
呂岩_2,呂岩_1,6,undirected
呂岩_2,韓偓_2,1,undirected
呂岩_2,韓愈_1,2,undirected
姚合_1,劉禹錫_1,3,undirected
姚合_1,姚合_2,2,undirected
姚合_1,杜牧_1,2,undirected
姚合_1,韋莊_1,1,undirected
姚合_2,姚合_1,2,undirected
姚合_2,張籍_1,1,undirected
姚合_2,李端_2,3,undirected
孟郊_1,孟郊_2,2,undirected
孟郊_1,寒山_2,3,undirected
孟郊_1,顧況_1,1,undirected
孟郊_2,劉禹錫_1,3,undirected
孟郊_2,孟郊_1,2,undirected
孟郊_2,錢起_1,1,undirected
孟郊_2,韓偓_2,2,undirected
寒山_1,寒山_2,3,undirected
寒山_1,張九齡_1,2,undirected
寒山_1,皎然_2,1,undirected
寒山_2,元稹_1,1,undirected
寒山_2,呂岩_1,2,undirected
寒山_2,孟郊_1,3,undirected
寒山_2,寒山_1,3,undirected
寒山_2,張九齡_1,2,undirected
寒山_2,白居易_2,4,undirected
寒山_2,皎然_2,3,undirected
寒山_2,韓偓_2,1,undirected
寒山_2,顧況_1,2,undirected
岑參_1,岑參_2,5,undirected
岑參_1,李白_1,2,undirected
岑參_1,李賀_1,1,undirected
岑參_2,岑參_1,5,undirected
岑參_2,李白_1,3,undirected
岑參_2,錢起_1,1,undirected
張九齡_1,儲光羲_1,2,undirected
張九齡_1,元稹_1,2,undirected
張九齡_1,寒山_1,2,undirected
張九齡_1,寒山_2,2,undirected
張九齡_1,杜甫_1,2,undirected
張九齡_1,柳宗元_1,2,undirected
張九齡_1,皎然_2,1,undirected
張九齡_1,貫休_2,2,undirected
張九齡_1,陸龜蒙_2,6,undirected
張九齡_1,高適_1,1,undirected
張九齡_2,張說_1,5,undirected
張九齡_2,杜甫_1,2,undirected
張九齡_2,顧況_2,1,undirected
張九齡_2,高適_2,1,undirected
張祜_1,劉禹錫_1,2,undirected
張祜_1,劉長卿_1,1,undirected
張祜_1,張祜_2,3,undirected
張祜_1,杜牧_2,2,undirected
張祜_1,溫庭筠_2,1,undirected
張祜_1,賈島_2,1,undirected
張祜_2,劉禹錫_1,2,undirected
張祜_2,張祜_1,3,undirected
張祜_2,張說_2,1,undirected
張祜_2,李商隱_2,2,undirected
張祜_2,杜牧_1,4,undirected
張祜_2,溫庭筠_2,6,undirected
張祜_2,王建_1,1,undirected
張祜_2,韋莊_2,3,undirected
張祜_2,齊己_2,1,undirected
張籍_1,姚合_2,1,undirected
張籍_1,杜甫_1,3,undirected
張籍_1,盧綸_2,1,undirected
張籍_1,高適_2,2,undirected
張籍_2,劉長卿_2,2,undirected
張籍_2,王建_1,2,undirected
張籍_2,賈島_1,3,undirected
張說_1,元稹_2,1,undirected
張說_1,劉禹錫_1,4,undirected
張說_1,張九齡_2,5,undirected
張說_1,權德輿_1,3,undirected
張說_1,王維_2,1,undirected
張說_2,劉禹錫_1,3,undirected
張說_2,張祜_2,1,undirected
張說_2,王維_1,5,undirected
徐夤_1,徐夤_2,2,undirected
徐夤_1,李商隱_1,3,undirected
徐夤_1,韓愈_1,3,undirected
徐夤_2,徐夤_1,2,undirected
徐夤_2,李白_1,6,undirected
徐夤_2,貫休_1,1,undirected
徐夤_2,陸龜蒙_2,1,undirected
徐夤_2,韓愈_1,2,undirected
徐鉉_1,徐鉉_2,1,undirected
徐鉉_1,李端_1,3,undirected
徐鉉_1,李端_2,2,undirected
徐鉉_1,杜甫_1,1,undirected
徐鉉_1,錢起_2,2,undirected
徐鉉_1,高適_2,5,undirected
徐鉉_2,劉禹錫_1,3,undirected
徐鉉_2,徐鉉_1,1,undirected
徐鉉_2,羅隱_1,2,undirected
方幹_1,方幹_2,6,undirected
方幹_1,杜牧_1,2,undirected
方幹_1,杜荀鶴_1,2,undirected
方幹_1,皮日休_2,1,undirected
方幹_1,齊己_1,3,undirected
方幹_2,方幹_1,6,undirected
方幹_2,李端_1,2,undirected
方幹_2,杜荀鶴_1,1,undirected
方幹_2,杜荀鶴_2,3,undirected
方幹_2,白居易_1,1,undirected
方幹_2,白居易_2,1,undirected
方幹_2,齊己_1,1,undirected
李商隱_1,徐夤_1,3,undirected
李商隱_1,李白_1,3,undirected
李商隱_1,韓愈_1,1,undirected
李商隱_2,吳融_1,1,undirected
李商隱_2,吳融_2,3,undirected
李商隱_2,張祜_2,2,undirected
李商隱_2,杜甫_1,3,undirected
李商隱_2,薛能_1,3,undirected
李白_1,岑參_1,2,undirected
李白_1,岑參_2,3,undirected
李白_1,徐夤_2,6,undirected
李白_1,李商隱_1,3,undirected
李白_1,李白_2,1,undirected
李白_1,李賀_1,3,undirected
李白_1,李賀_2,3,undirected
李白_1,王建_2,2,undirected
李白_1,王維_1,2,undirected
李白_2,劉禹錫_1,3,undirected
李白_2,李白_1,1,undirected
李白_2,韓愈_1,2,undirected
李端_1,劉禹錫_2,1,undirected
李端_1,徐鉉_1,3,undirected
李端_1,方幹_2,2,undirected
李端_1,李端_2,3,undirected
李端_1,權德輿_1,3,undirected
李端_1,權德輿_2,1,undirected
李端_1,溫庭筠_1,2,undirected
李端_1,盧綸_2,3,undirected
李端_1,羅隱_1,2,undirected
李端_1,韋應物_1,2,undirected
李端_1,韋應物_2,1,undirected
李端_2,姚合_2,3,undirected
李端_2,徐鉉_1,2,undirected
李端_2,李端_1,3,undirected
李端_2,杜甫_1,1,undirected
李賀_1,岑參_1,1,undirected
李賀_1,李白_1,3,undirected
李賀_1,李賀_2,5,undirected
李賀_1,王維_1,1,undirected
李賀_2,李白_1,3,undirected
李賀_2,李賀_1,5,undirected
李賀_2,杜甫_1,3,undirected
李賀_2,王維_1,1,undirected
杜牧_1,劉禹錫_1,2,undirected
杜牧_1,吳融_2,2,undirected
杜牧_1,姚合_1,2,undirected
杜牧_1,張祜_2,4,undirected
杜牧_1,方幹_1,2,undirected
杜牧_1,溫庭筠_2,1,undirected
杜牧_1,許渾_1,2,undirected
杜牧_1,許渾_2,2,undirected
