author,color
儲光羲,#FF8881
元稹,#FB8D6F
劉禹錫,#F6915C
劉長卿,#EF9647
吳融,#E89B2C
呂岩,#E0A000
姚合,#D6A400
孟郊,#CCA900
寒山,#C1AD00
岑參,#B5B100
張九齡,#A8B500
張祜,#99B800
張籍,#88BB00
張說,#74BE05
徐夤,#5CC133
徐鉉,#39C44B
方幹,#00C65F
李商隱,#00C871
李白,#00C982
李端,#00CA91
李賀,#00CBA0
杜牧,#00CBAE
杜甫,#00CBBC
杜荀鶴,#00CAC8
柳宗元,#00C9D4
權德輿,#00C6DF
溫庭筠,#00C4E9
王建,#00C0F2
王維,#00BCFA
白居易,#00B7FF
皎然,#48B2FF
皮日休,#70ACFF
盧綸,#8EA5FF
羅隱,#A69EFF
薛能,#BA98FF
許渾,#CB91FF
貫休,#DA8BFF
賈島,#E785FC
錢起,#F180F5
陸龜蒙,#F97CEC
韋應物,#FF7AE2
韋莊,#FF79D6
韓偓,#FF79CA
韓愈,#FF7BBD
顧況,#FF7DAF
高適,#FF80A0
齊己,#FF8491
