timestamp,source_corpus,run_dir,length,replicate,k,n_docs,ngram,mfw_min,mfw_max,ari_hclust,ari_kmeans
2025-08-28 18:07:34,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,data/interim/length_sweep_runs/len_00800_rep_01,800,1,47,94,1,100,600,0,0
2025-08-28 18:07:47,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,data/interim/length_sweep_runs/len_00800_rep_02,800,2,47,94,1,100,600,0,0
2025-08-28 18:07:57,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,data/interim/length_sweep_runs/len_00800_rep_03,800,3,47,94,1,100,600,0,0
2025-08-28 18:08:03,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,data/interim/length_sweep_runs/len_00800_rep_04,800,4,47,94,1,100,600,0,0
2025-08-28 18:08:08,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,data/interim/length_sweep_runs/len_00800_rep_05,800,5,47,94,1,100,600,0,0
2025-08-28 18:08:14,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,data/interim/length_sweep_runs/len_00800_rep_06,800,6,47,94,1,100,600,0,0
2025-08-28 18:08:19,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,data/interim/length_sweep_runs/len_00800_rep_07,800,7,47,94,1,100,600,0,0
2025-08-28 18:08:25,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,data/interim/length_sweep_runs/len_00800_rep_08,800,8,47,94,1,100,600,0,0
2025-08-28 18:08:30,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,data/interim/length_sweep_runs/len_00800_rep_09,800,9,47,94,1,100,600,0,0
2025-08-28 18:08:36,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,data/interim/length_sweep_runs/len_00800_rep_10,800,10,47,94,1,100,600,0,0
2025-08-28 18:08:41,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,data/interim/length_sweep_runs/len_01000_rep_01,1000,1,47,94,1,100,600,0,0
2025-08-28 18:08:47,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,data/interim/length_sweep_runs/len_01000_rep_02,1000,2,47,94,1,100,600,0,0
