doc,author,cluster,maj_author,n,correct
儲光羲_1,儲光羲,1,儲光羲,2,TRUE
儲光羲_2,儲光羲,1,儲光羲,2,TRUE
元稹_1,元稹,2,元稹,2,TRUE
元稹_2,元稹,2,元稹,2,TRUE
劉禹錫_1,劉禹錫,3,劉禹錫,1,TRUE
劉禹錫_2,劉禹錫,4,劉禹錫,1,TRUE
劉長卿_1,劉長卿,5,劉長卿,2,TRUE
劉長卿_2,劉長卿,5,劉長卿,2,TRUE
吳融_1,吳融,6,吳融,2,TRUE
吳融_2,吳融,6,吳融,2,TRUE
呂岩_1,呂岩,7,呂岩,2,TRUE
呂岩_2,呂岩,7,呂岩,2,TRUE
姚合_1,姚合,8,姚合,2,TRUE
姚合_2,姚合,8,姚合,2,TRUE
孟郊_1,孟郊,9,孟郊,2,TRUE
孟郊_2,孟郊,9,孟郊,2,TRUE
寒山_1,寒山,10,寒山,2,TRUE
寒山_2,寒山,10,寒山,2,TRUE
岑參_1,岑參,11,岑參,2,TRUE
岑參_2,岑參,11,岑參,2,TRUE
張九齡_1,張九齡,12,張九齡,2,TRUE
張九齡_2,張九齡,12,張九齡,2,TRUE
張祜_1,張祜,13,張祜,2,TRUE
張祜_2,張祜,13,張祜,2,TRUE
張籍_1,張籍,14,張籍,2,TRUE
張籍_2,張籍,14,張籍,2,TRUE
張說_1,張說,15,張說,2,TRUE
張說_2,張說,15,張說,2,TRUE
徐夤_1,徐夤,16,徐夤,2,TRUE
徐夤_2,徐夤,16,徐夤,2,TRUE
徐鉉_1,徐鉉,17,徐鉉,2,TRUE
徐鉉_2,徐鉉,17,徐鉉,2,TRUE
方幹_1,方幹,18,方幹,2,TRUE
方幹_2,方幹,18,方幹,2,TRUE
李商隱_1,李商隱,19,李商隱,2,TRUE
李商隱_2,李商隱,19,李商隱,2,TRUE
李白_1,李白,20,李白,2,TRUE
李白_2,李白,20,李白,2,TRUE
李端_1,李端,21,李端,2,TRUE
李端_2,李端,21,李端,2,TRUE
李賀_1,李賀,22,李賀,2,TRUE
李賀_2,李賀,22,李賀,2,TRUE
杜牧_1,杜牧,23,杜牧,1,TRUE
杜牧_2,杜牧,24,許渾,2,FALSE
杜甫_1,杜甫,25,杜甫,2,TRUE
杜甫_2,杜甫,25,杜甫,2,TRUE
杜荀鶴_1,杜荀鶴,26,杜荀鶴,2,TRUE
杜荀鶴_2,杜荀鶴,26,杜荀鶴,2,TRUE
柳宗元_1,柳宗元,3,劉禹錫,1,FALSE
柳宗元_2,柳宗元,27,柳宗元,1,TRUE
權德輿_1,權德輿,28,權德輿,2,TRUE
權德輿_2,權德輿,28,權德輿,2,TRUE
溫庭筠_1,溫庭筠,29,溫庭筠,2,TRUE
溫庭筠_2,溫庭筠,29,溫庭筠,2,TRUE
王建_1,王建,30,王建,2,TRUE
王建_2,王建,30,王建,2,TRUE
王維_1,王維,31,王維,2,TRUE
王維_2,王維,31,王維,2,TRUE
白居易_1,白居易,32,白居易,2,TRUE
白居易_2,白居易,32,白居易,2,TRUE
皎然_1,皎然,33,皎然,2,TRUE
皎然_2,皎然,33,皎然,2,TRUE
皮日休_1,皮日休,34,皮日休,1,TRUE
皮日休_2,皮日休,35,皮日休,1,TRUE
盧綸_1,盧綸,36,盧綸,2,TRUE
盧綸_2,盧綸,36,盧綸,2,TRUE
羅隱_1,羅隱,37,羅隱,2,TRUE
羅隱_2,羅隱,37,羅隱,2,TRUE
薛能_1,薛能,38,薛能,2,TRUE
薛能_2,薛能,38,薛能,2,TRUE
許渾_1,許渾,24,許渾,2,TRUE
許渾_2,許渾,24,許渾,2,TRUE
貫休_1,貫休,39,貫休,2,TRUE
貫休_2,貫休,39,貫休,2,TRUE
賈島_1,賈島,40,賈島,2,TRUE
賈島_2,賈島,40,賈島,2,TRUE
錢起_1,錢起,41,錢起,2,TRUE
錢起_2,錢起,41,錢起,2,TRUE
陸龜蒙_1,陸龜蒙,35,皮日休,1,FALSE
陸龜蒙_2,陸龜蒙,34,皮日休,1,FALSE
韋應物_1,韋應物,42,韋應物,2,TRUE
韋應物_2,韋應物,42,韋應物,2,TRUE
韋莊_1,韋莊,43,韋莊,2,TRUE
韋莊_2,韋莊,43,韋莊,2,TRUE
韓偓_1,韓偓,44,韓偓,2,TRUE
韓偓_2,韓偓,44,韓偓,2,TRUE
韓愈_1,韓愈,2,元稹,2,FALSE
韓愈_2,韓愈,2,元稹,2,FALSE
顧況_1,顧況,45,顧況,2,TRUE
顧況_2,顧況,45,顧況,2,TRUE
高適_1,高適,46,高適,2,TRUE
高適_2,高適,46,高適,2,TRUE
齊己_1,齊己,47,齊己,2,TRUE
齊己_2,齊己,47,齊己,2,TRUE
