timestamp,corpus,tokens,n_docs,k,ngram,distance,mfw_min,mfw_max,ari_hclust,ari_kmeans
2025-09-11 22:23:16,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,delta,100,100,0.7370023928649119,0.7241568713610897
2025-09-11 22:23:22,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,delta,200,200,0.7421075085324232,0.7295638126009694
2025-09-11 22:23:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,delta,300,300,0.8227777155027464,0.8227777155027464
2025-09-11 22:23:40,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,delta,400,400,0.8142476697736352,0.8058881687355817
2025-09-11 22:23:49,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,delta,500,500,0.8525481313703285,0.7445896957047127
2025-09-11 22:23:57,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,delta,600,600,0.8263209930792047,0.8058881687355817
2025-09-11 22:24:06,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,delta,700,700,0.8263209930792047,0.8142476697736352
2025-09-11 22:24:14,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,delta,800,800,0.855525965379494,0.8142476697736352
2025-09-11 22:24:23,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,cosine,100,100,0.7370023928649119,0.7241568713610897
2025-09-11 22:24:32,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,cosine,200,200,0.7421075085324232,0.7295638126009694
2025-09-11 22:24:41,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,cosine,300,300,0.8227777155027464,0.8227777155027464
2025-09-11 22:24:50,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,cosine,400,400,0.8142476697736352,0.8058881687355817
2025-09-11 22:24:54,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,cosine,500,500,0.8525481313703285,0.7445896957047127
2025-09-11 22:24:57,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,cosine,600,600,0.8263209930792047,0.8058881687355817
2025-09-11 22:25:07,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,cosine,700,700,0.8263209930792047,0.8142476697736352
2025-09-11 22:25:16,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,cosine,800,800,0.855525965379494,0.8142476697736352
2025-09-11 22:25:25,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,argamon,100,100,0.7370023928649119,0.7241568713610897
2025-09-11 22:25:33,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,argamon,200,200,0.7421075085324232,0.7295638126009694
2025-09-11 22:25:42,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,argamon,300,300,0.8227777155027464,0.8227777155027464
2025-09-11 22:25:52,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,argamon,400,400,0.8142476697736352,0.8058881687355817
2025-09-11 22:25:54,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,94,47,1,argamon,500,500,0.8525481313703285,0.7445896957047127
